tumor_progenitor,tumor_terminal,lcmv_progenitor,lcmv_terminal
Prkab2,Myo1f,Dnajc16,Epb4.1
Prkca,Myo1g,Dnajc27,Epcam
Prkcq,Naa38,Dnalc1,Epdr1
Prnp,Nans,Dnase1l3,Ephb6
Prrc2c,Napsa,Dohh,Epsti1
Prss2,Nbeal2,Dot1l,Erbb3
Psen2,Ncapg,Dph1,Esyt1
Psmg1,Ncf1,Dph5,Etv5
Pter,Ncf4,Dpp3,Evi2b
Ptpn1,Ncor2,Dpp4,Evi5l
Ptpn11,Ndfip2,Dpy19l3,Exoc2
Ptpn13,Ndrg1,Dpy30,Exoc5
Pts,Ndufb7,Dpysl5,Exoc7
Pydc4,Ndufb8,Dscam,Exog
Rab37,Ndufb9,Dscr3,Extl3
Rab3ip,Neb,Dse,Eya3
Raf1,Nedd4,Dsp,F2r
Ramp3,Nedd9,Dtl,F2rl2
Rap2b,Neil2,Dtwd1,F630043A04Rik
Rasa3,Nek6,Dus4l,F730043M19Rik
Rasgef1a,Nfil3,Dusp1,Fads1
Rasgef1b,Nipsnap3b,Dusp14,Faf1
Rasgrp2,Nkg7,Dusp4,Faim
Rassf2,Nomo1,Dync2li1,Fam102a
Rassf5,Npc2,Dynll1,Fam102b
Rcl1,Npnt,Dyx1c1,Fam120b
Rcor1,Nqo2,Dzip1,Fam122a
Reck,Nr4a2,E130215H24Rik,Fam126a
Rel,Nucb1,E130308A19Rik,Fam129a
Repin1,Nuf2,E230016M11Rik,Fam160a2
Rere,Obfc2a,E2f1,Fam171b
Rgs10,Ociad2,E2f8,Fam173b
Ripk2,Oit3,E430018J23Rik,Fam185a
Rn45s,Optn,Ears2,Fam188a
Rnf138,Osbpl3,Ebna1bp2,Fam189b
Rnf157,Osgin1,Ecd,Fam193b
Rnf19a,Osr2,Echs1,Fam19a3
Rnf19b,P2ry14,Eea1,Fam32a
Rnf43,P4ha1,Eed,Fam35a
Rora,P4hb,Eef1a1,Fam54b
Rpl22,Pacsin2,Eef1b2,Fam71b
Rpl4,Padi2,Eef1g,Fam78b
Rpl8,Pafah1b2,Eef2,Fam82a1
Rplp0,Pak4,Efemp2,Fam83g
Rplp1,Pcmt1,Efnb2,Fancb
Rps20,Pcyt1a,Egfl7,Fasl
Rps3,Pdcd1,Egln3,Fbxl12
Rps9,Pdcd6ip,Egr2,Fbxl14
Rtp4,Pde4a,Ehd3,Fbxl19
S1pr1,Pdgfb,Eif2a,Fbxo25
S1pr5,Pdia3,Eif2b1,Fbxo30
Samd3,Pdia4,Eif2s1,Fbxo42
Satb1,Pdia6,Eif3a,Fbxo6
Scml4,Peli1,Eif3d,Fbxo8
Sell,Penk,Eif3f,Fbxo9
Sema4c,Pfkp,Eif3h,Fbxw17
Sema4f,Pfn1,Eif3i,Fbxw2
Sept6,Pggt1b,Eif3k,Fbxw4
Sesn3,Pgls,Eif3l,Fcer1g
Setd2,Pglyrp1,Eif4b,Fcgr3
Sft2d2,Pglyrp2,Eif4e,Fchsd1
Sfxn3,Pgrmc1,Eif5a,Fez2
Sgms1,Phlda3,Elk4,Fgd2
Sgsh,Pik3ap1,Elmo1,Fgl2
Sh2b3,Pik3cg,Elovl6,Fgr
Sh2d1a,Pim3,Emb,Fhl2
Sh3bp5,Pkm2,Emd,Filip1
Shisa5,Pla2g16,Eme1,Fkbp10
Sidt1,Plac8,Eml4,Fli1
Sidt2,Pldn,Eml6,Flt3
Sigirr,Plek,Endou,Flywch1
Sirt5,Plekha1,Eno2,Fnbp1
Skap1,Plekhf1,Enox,Foxj3
Skp1a,Plekho2,Enpp2,Foxn3
Sla,Plin2,Eppk1,Foxo3
Slamf6,Plk3,Eprs,Frmd4b
Slc14a1,Plxnd1,Erc1,Fscn2
Slc15a1,Pmaip1,Eri3,Fxc1
Slc1a2,Podnl1,Erich1,Fyco1
Slc25a42,Pofut2,Ermn,Fyn
Slc26a11,Polh,Espn,Gabarapl1
Slc29a3,Por,Esr1,Gabarapl2
Slc2a6,Ppp1ca,Etnk1,Galns
Slc35f2,Ppp1r11,Etv6,Galnt10
Slc37a1,Ppp1r18,Evi2a,Galnt2
Slc39a11,Ppp1r3b,Evl,Galnt6
Slc41a1,Ppp2r2c,Exd1,Gba
Slc5a3,Pqlc3,Exosc2,Gbp4
Slc6a6,Prc1,Exosc7,Gbp7
