Safford_anergy,Parish_deletional_tolerance,Miao_Egr2,Zheng_Egr2
,,Ms4a2,
,,Iglon5,
,,Mtmr7,
,,Spef2,
,,Agpat9,
,,Rnf125,
,,Il18rap,
,,Rab39b,
,,Tspan2,
,,Fbxo44,
,,Ddx28,
,,Elmod1,
,,Lifr,
,,Rhoq,
,,Pgm2l1,
,,Zcchc14,
,,Klra9,
,,Srcin1,
,,Kif5c,
,,Itgax,
,,C4b,
,,Styk1,
,,Mir7050,
,,Ahnak,
,,Dgat1,
,,Anxa1,
,,Il18r1,
,,Cpe,
,,Il17a,
,,Ccdc80,
,,Upp1,
,,Samd3,
,,Hlf,
,,Naip2,
,,Unc5cl,
,,4921515E04Rik,
,,Ttc41,
,,Map3k15,
,,A430090L17Rik,
,,Fgd6,
,,Ackr1,
,,Pik3r1,
,,Fcho2,
,,H2-Q10,
,,Entpd1,
,,Pxylp1,
,,Pltp,
,,Ms4a4a,
,,Amica1,
,,Fam19a3,
,,Prf1,
,,Rab6b,
,,Atp1a2,
,,Rnf165,
,,Crmp1,
,,Mctp2,
,,Plcxd2,
,,Heatr9,
,,3300002P13Rik,
,,a,
,,Bcl11a,
,,Serpinb1a,
,,Prox1,
,,Syngr3,
,,Paqr4,
,,Ccl9,
,,Gm5177,
,,Sgtb,
,,Trim46,
,,5430427O19Rik,
,,Krt80,
,,Fam46a,
,,Enpp2,
,,Ankrd35,
,,Cd244,
,,Tiam2,
,,Pik3ap1,
,,F2rl2,
,,Rimkla,
,,Mc3r,
,,Fam102b,
,,Dnaja4,
,,Rslcan18,
,,Rap1gap2,
,,Ky,
,,Cxcr6,
,,Dapk2,
,,Cobll1,
,,Rom1,
,,Ifngr1,
,,Cyp17a1,
,,Ccdc180,
,,Abcb4,
,,Apobec2,
,,Strc,
,,Bmpr1a,
,,Tmod4,
,,Runx2,
,,44078,
,,Ltb4r1,
,,Mir684-1,
,,Bmx,
,,Cpne8,
,,Cyp3a13,
,,Dnah11,
,,Plek,
,,H60b,
,,Ret,
,,Errfi1,
,,Adrb1,
,,Prdm1,
,,Ccl3,
,,Cmklr1,
,,Serpinb6b,
,,1700020L24Rik,
,,Fcgr2b,
,,Serpinb6c,
,,Irak2,
,,Cdh5,
,,Sv2c,
,,Cd200r4,
,,Ddx43,
,,Znf41-ps,
,,Osbpl3,
,,Gzmb,
,,Erbb2,
,,Spns3,
,,AI414108,
,,Nxpe4,
,,5730507C01Rik,
,,Hilpda,
,,Pls3,
,,Gm15987,
,,Adamts13,
,,Zeb2,
,,Ugcg,
,,Bspry,
,,Ifitm3,
,,Cep112,
,,Fgl2,
,,Bhlhe40,
,,4930556N13Rik,
,,Evx1,
,,Gzma,
,,Nap1l3,
,,Scn3a,
,,Atrnl1,
,,Obscn,
,,Havcr2,
,,Rgs18,
,,Wdr95,
,,Ccl4,
,,Mlf1,
,,Ncam1,
,,Slc23a3,
,,L1cam,
,,Pacsin3,
,,Ceacam1,
,,Chd7,
,,Ggt1,
,,Cd163l1,
,,Gzmk,
,,Kremen2,
,,Zfp458,
,,Ifitm2,
,,Syk,
,,Calca,
,,Cd200r2,
,,Selm,
,,Ptgs2,
,,Fam174b,
,,Epas1,
,,Muc1,
,,Fcgrt,
,,Dok2,
,,Fzd6,
,,Zfp729a,
,,Cadm3,
,,Gm4858,
,,Sytl2,
,,Scrt1,
,,Dyrk3,
,,Trpc1,
,,Gas7,
,,Armc2,
,,Perp,
,,Cd80,
,,Sult4a1,
,,Rnf13,
,,Phactr3,
,,Arhgef10,
,,Sdc4,
,,Cdkl2,
,,Dtx4,
,,Cdkn2a,
,,1810011H11Rik,
,,Adgrl3,
,,9130008F23Rik,
,,Dennd4a,
,,Osr2,
,,Prss16,
,,Slc37a2,
,,2010107G23Rik,
,,Muc4,
,,Smim5,
,,Dmrt2,
,,Areg,
,,Clec4n,
,,Arhgap6,
,,Cacna1i,
,,A230056P14Rik,
,,Nbea,
,,Nccrp1,
,,Tgfa,
,,Cfap46,
,,Serpine2,
,,2810047C21Rik1,
,,Dmxl2,
,,Serpinh1,
,,Rhox8,
,,Uty,
,,Gpr141,
,,Dgki,
,,Galnt3,
,,Dsg2,
,,Rgs1,
,,Fcna,
,,Csf1,
,,Ifitm1,
,,Abcb1a,
,,Ccdc109b,
,,Map6,
,,Cyp4f16,
,,Pilrb2,
,,Neo1,
,,Cnga1,
,,Kdm5d,
,,Eif2s3y,
,,Serpini1,
,,Miat,
,,Actrt3,
